"","data.Overall.life.expectancy.at.birth","data.Male.life.expectancy.at.birth","data.Female.life.expectancy.at.birth","data.Continent"
"124",73.9,72.3,75.7,"Asia"
"28",81.2,79.5,83,"Europe"
"209.1",55.5,53.4,57.6,"Africa"
"126.1",73.8,70.7,77,"Asia"
"26",81.3,79.2,83.6,"Europe"
"186.1",63.8,61.2,66.4,"North America"
"29",81.2,79.1,83.3,"Oceania"
"133.1",73.2,71.1,75.5,"North America"
"170",66.6,64.2,69.2,"Asia"
"62",78.1,75.8,80.6,"Europe"
"130.1",73.4,71.8,75.1,"Oceania"
"106",75.3,73.2,77.4,"Asia"
"165",68.1,66.5,69.7,"Asia"
"131",73.4,70.9,76.2,"Asia"
"19",81.9,79.7,84.6,"Europe"
"97",75.7,73.3,78.2,"North America"
"66",77.8,75,80.7,"North America"
"163",68.5,67.3,69.8,"Asia"
"68.2",77.6,76.3,78.9,"Asia"
"3.1",85,82.3,87.8,"Asia"
"211",55.4,54,56.9,"Africa"
"196",61.2,59.2,63.2,"Africa"
"61",78.1,75.9,80.5,"North America"
"89",76.2,74.7,77.8,"Oceania"
"115",74.7,71.4,78.1,"North America"
"219.1",52.1,51.6,52.5,"Africa"
"152",70.7,66.5,75.1,"Asia"
"29.1",81.2,79.1,83.3,"Oceania"
"37",80.4,77.8,83.1,"Europe"
"84",76.7,71.9,81.7,"Europe"
"4",84.5,81.6,87.6,"Asia"
"45.1",79.5,76.6,82.6,"Africa"
"75",77.1,74,80.4,"South America"
"212.1",54.5,56.3,52.6,"Africa"
"77",77,74,80.1,"North America"
"6",83,80.9,85.3,"Europe"
"25",81.3,78.1,84.5,"North America"
"7",82.9,80.3,85.8,"Asia"
"198",60.5,58.8,62.3,"Africa"
"46",79.4,77,82,"Europe"
"19.1",81.9,79.7,84.6,"Europe"
"30",81,78.4,83.7,"Europe"
"145",72.3,70.3,74.4,"North America"
"184",64.1,62,66.3,"Africa"
"67",77.7,73.7,81.9,"Europe"
"14",82.2,79.8,84.8,"Oceania"
"39",80.2,77.4,83.2,"Europe"
"145.1",72.3,70.3,74.4,"North America"
"108",75.1,71.7,78.8,"Europe"
"185",64,62.6,65.5,"Africa"
"85.1",76.5,74.4,78.8,"North America"
"65",77.9,75.6,79.6,"South America"
"158.1",70.1,67.1,73.3,"Asia"
"153.1",70.7,66.9,74.8,"Europe"
"26.1",81.3,79.2,83.6,"Europe"
"115.1",74.7,71.4,78.1,"North America"
"91",75.9,72.7,79.2,"Europe"
"109",75,72.2,78,"Asia"
"205.1",58,57.3,58.7,"Africa"
"165.1",68.1,66.5,69.7,"Asia"
"158.2",70.1,67.1,73.3,"Asia"
"25.1",81.3,78.1,84.5,"North America"
"8",82.8,80.6,85.1,"Europe"
"73",77.2,74.5,80,"South America"
"1",89.5,85.6,93.5,"Europe"
"77.1",77,74,80.1,"North America"
"113",74.9,72.5,77.4,"Asia"
"102",75.5,72.6,78.5,"Europe"
"75.1",77.1,74,80.4,"South America"
"16.1",82.1,80.2,84.1,"Europe"
"215",53,52.9,53.1,"Africa"
"184.1",64.1,62,66.3,"Africa"
"20",81.8,78.7,85.1,"Europe"
"10",82.5,79.9,85.4,"Europe"
"162",68.7,67.2,70.4,"North America"
"25.2",81.3,78.1,84.5,"North America"
"121.1",74.5,69.9,79.3,"Europe"
"103.1",75.4,72.4,78.5,"North America"
"72",77.2,74.9,79.6,"Europe"
"31",80.9,77.9,84,"Europe"
"81",76.8,73.8,79.9,"South America"
"68.3",77.6,76.3,78.9,"Asia"
"16.2",82.1,80.2,84.1,"Europe"
"26.2",81.3,79.2,83.6,"Europe"
"45.2",79.5,76.6,82.6,"Africa"
"123",74.3,71.7,77.1,"North America"
"135",73.1,69.9,76.5,"Oceania"
"202",58.7,57.5,59.9,"Africa"
"177.1",64.9,62.4,67.5,"Africa"
"115.2",74.7,71.4,78.1,"North America"
"207",56,54.8,57.2,"Africa"
"131.1",73.4,70.9,76.2,"Asia"
"209.2",55.5,53.4,57.6,"Africa"
"64",78,75.3,80.8,"North America"
"5",83.3,80.7,86.1,"Europe"
"77.2",77,74,80.1,"North America"
"55",78.6,77.2,80.1,"North America"
"20.1",81.8,78.7,85.1,"Europe"
"54.1",78.7,76.7,80.8,"Asia"
"105",75.3,73.3,77.4,"North America"
"73.1",77.2,74.5,80,"South America"
"26.3",81.3,79.2,83.6,"Europe"
"89.1",76.2,74.7,77.8,"Oceania"
"219.2",52.1,51.6,52.5,"Africa"
"114",74.8,72.5,77.3,"Europe"
"74.2",77.2,74.1,80.5,"South America"
"73.2",77.2,74.5,80,"South America"
"194",61.9,60.5,63.3,"Africa"
"204",58.2,55.6,60.9,"Africa"
"101",75.5,73.5,77.9,"Asia"
"194.1",61.9,60.5,63.3,"Africa"
