"","data.Overall.life.expectancy.at.birth","data.Male.life.expectancy.at.birth","data.Female.life.expectancy.at.birth","data.Continent"
"44.1",79.7,76.7,82.8,"Oceania"
"201.1",59,57.3,60.8,"Africa"
"27.1",81.2,78.5,84,"North America"
"176",65,62.3,69.7,"Africa"
"3",85,82.3,87.8,"Asia"
"99",75.6,72.2,79.2,"Africa"
"48",79.4,75.8,83.1,"North America"
"130",73.4,71.8,75.1,"Oceania"
"89.1",76.2,74.7,77.8,"Oceania"
"183.2",64.2,63.1,65.4,"Africa"
"43.1",79.8,77.5,82.1,"North America"
"103",75.4,72.4,78.5,"North America"
"136",72.9,70.8,75,"Oceania"
"124.1",73.9,72.3,75.7,"Asia"
"172.1",66.5,64.3,68.8,"Oceania"
"166",67.7,65.8,69.8,"Asia"
"42",79.8,77.1,82.7,"North America"
"113.1",74.9,72.5,77.4,"Asia"
"156.1",70.3,64.3,76.4,"Asia"
"37",80.4,77.8,83.1,"Europe"
"74",77.2,74.1,80.5,"South America"
"222.1",50.6,48.6,52.7,"Africa"
"209",55.5,53.4,57.6,"Africa"
"30",81,78.4,83.7,"Europe"
"160.1",69.2,66.4,72.1,"South America"
"95.3",75.8,72.7,78.9,"South America"
"220.1",51.6,52.2,51,"Africa"
"59.1",78.3,75.7,81.2,"Europe"
"201.2",59,57.3,60.8,"Africa"
"109",75,72.2,78,"Asia"
"127.2",73.7,71.7,75.9,"South America"
"155",70.4,66.6,74.5,"Asia"
"179",64.9,62.5,67.3,"Africa"
"104",75.3,73,77.7,"North America"
"63",78,76.6,79.4,"Asia"
"190.1",63,60.7,65.4,"Africa"
"67.3",77.7,73.7,81.9,"Europe"
"156.2",70.3,64.3,76.4,"Asia"
"67.4",77.7,73.7,81.9,"Europe"
"135.1",73.1,69.9,76.5,"Oceania"
"175.1",65.5,63.4,67.8,"Asia"
"214.2",53.3,52.6,54.1,"Africa"
"167.1",67.7,64.6,71,"Asia"
"107.1",75.3,72.7,78.1,"Oceania"
"63.1",78,76.6,79.4,"Asia"
"172.2",66.5,64.3,68.8,"Oceania"
"90",76.1,74,78.4,"Africa"
"181",64.3,62.2,66.4,"Asia"
"3.1",85,82.3,87.8,"Asia"
"143",72.4,69.7,75.2,"Europe"
"209.1",55.5,53.4,57.6,"Africa"
"60",78.2,74.6,82,"Europe"
"205",58,57.3,58.7,"Africa"
"207",56,54.8,57.2,"Africa"
"193.1",62.2,60.8,63.6,"Africa"
"171",66.6,64.1,69.1,"Africa"
"139.1",72.7,71.4,74.2,"Africa"
"114",74.8,72.5,77.3,"Europe"
"9.1",82.6,80.3,85,"Europe"
"49",79.3,76.1,82.8,"Europe"
"92.1",75.9,72.2,79.8,"Europe"
"148",71.8,67.1,76.9,"Europe"
